Data;Hora;Duracao;Numero;Destino;Tipo;Valor
03/06/2026;09:18:18;00:01:24;99655-4074;AREA-019 VIVO;VC1;0,86
03/06/2026;10:04:12;00:00:30;97157-5271;AREA-019 VIVO;VC1;0,30
03/06/2026;10:05:54;00:00:48;99629-8076;AREA-019 VIVO;VC1;0,49
03/06/2026;10:29:24;00:00:36;99962-6098;AREA-019 VIVO;VC1;0,37
03/06/2026;11:31:00;00:00:30;99954-2913;AREA-019 VIVO;VC1;0,30
03/06/2026;12:38:18;00:00:30;99290-2332;AREA-019 CLARO;VC1;0,30
03/06/2026;12:39:12;00:00:30;99290-2332;AREA-019 CLARO;VC1;0,30
03/06/2026;14:44:42;00:01:00;97157-5271;AREA-019 VIVO;VC1;0,61
03/06/2026;15:00:48;00:06:12;99350-4945;AREA-019 CLARO;VC1;3,84
05/06/2026;06:52:18;00:00:36;99962-6098;AREA-019 VIVO;VC1;0,37
05/06/2026;11:01:06;00:00:48;99962-6098;AREA-019 VIVO;VC1;0,49
05/06/2026;17:20:42;00:01:12;99962-6098;AREA-019 VIVO;VC1;0,74
06/06/2026;11:58:54;00:00:54;99962-6098;AREA-019 VIVO;VC1;0,55
08/06/2026;18:18:30;00:00:36;99962-6098;AREA-019 VIVO;VC1;0,37
09/06/2026;10:22:42;00:01:36;99998-7465;AREA-019 VIVO;VC1;0,99
09/06/2026;11:43:36;00:00:30;99235-5965;AREA-019 CLARO;VC1;0,30
09/06/2026;16:32:42;00:00:30;99962-6098;AREA-019 VIVO;VC1;0,30
10/06/2026;09:07:36;00:03:36;97102-1668;AREA-019 VIVO;VC1;2,23
10/06/2026;14:54:42;00:00:30;99920-0835;AREA-019 VIVO;VC1;0,30
11/06/2026;12:54:24;00:00:30;99632-5672;AREA-019 VIVO;VC1;0,30
11/06/2026;15:22:42;00:01:30;99962-6098;AREA-019 VIVO;VC1;0,92
12/06/2026;08:36:54;00:00:30;99632-5672;AREA-019 VIVO;VC1;0,30
12/06/2026;11:26:06;00:00:30;99632-5672;AREA-019 VIVO;VC1;0,30
15/06/2026;12:36:48;00:00:36;99962-6098;AREA-019 VIVO;VC1;0,37
17/06/2026;12:13:18;00:04:24;99962-6098;AREA-019 VIVO;VC1;2,72
17/06/2026;16:42:42;00:01:12;99962-6098;AREA-019 VIVO;VC1;0,74
18/06/2026;06:35:06;00:00:30;99962-6098;AREA-019 VIVO;VC1;0,30
18/06/2026;10:23:48;00:01:48;99975-7554;AREA-019 VIVO;VC1;1,11
18/06/2026;10:45:06;00:00:30;99655-4074;AREA-019 VIVO;VC1;0,30
18/06/2026;10:45:42;00:00:54;99655-4074;AREA-019 VIVO;VC1;0,55
18/06/2026;11:46:12;00:00:36;97167-7315;AREA-019 VIVO;VC1;0,37
19/06/2026;08:23:48;00:00:36;99962-6098;AREA-019 VIVO;VC1;0,37
21/06/2026;05:58:42;00:03:06;99849-3241;AREA-019 VIVO;VC1;1,92
21/06/2026;07:34:06;00:01:00;99962-6098;AREA-019 VIVO;VC1;0,61
21/06/2026;18:09:24;00:02:30;99962-6098;AREA-019 VIVO;VC1;1,54
22/06/2026;08:56:54;00:00:54;99962-6098;AREA-019 VIVO;VC1;0,55
22/06/2026;10:47:12;00:00:42;99892-5626;AREA-019 VIVO;VC1;0,43
22/06/2026;11:09:54;00:00:30;97167-7315;AREA-019 VIVO;VC1;0,30
22/06/2026;13:32:48;00:00:30;99846-7072;AREA-019 VIVO;VC1;0,30
22/06/2026;15:53:24;00:01:12;99962-6098;AREA-019 VIVO;VC1;0,74
23/06/2026;09:29:06;00:02:36;99326-2842;AREA-019 CLARO;VC1;1,61
23/06/2026;09:51:00;00:00:30;97167-7315;AREA-019 VIVO;VC1;0,30
25/06/2026;09:41:30;00:00:30;99295-7117;AREA-019 VIVO;VC1;0,30
25/06/2026;10:14:42;00:00:30;99135-0302;AREA-019 CLARO;VC1;0,30
25/05/2026;14:34:54;00:01:00;3203-4091;SAO JOSE DO RIO;DDD;0,61
25/05/2026;14:36:06;00:01:06;3227-8099;BAURU;DDD;0,68
25/05/2026;14:37:36;00:01:00;3190-0610;ARARAQUARA;DDD;0,61
25/05/2026;14:39:54;00:01:00;3338-9039;GAVIAO PEIXOTO;DDD;0,61
25/05/2026;15:09:48;00:01:30;3027-9160;LONDRINA;DDD;0,92
25/05/2026;15:19:54;00:01:00;3366-3838;MARINGA;DDD;0,61
25/05/2026;15:20:48;00:01:06;3366-3833;MARINGA;DDD;0,68
25/05/2026;15:22:12;00:01:00;3338-9039;GAVIAO PEIXOTO;DDD;0,61
25/05/2026;15:25:54;00:01:00;3203-4091;SAO JOSE DO RIO;DDD;0,61
25/05/2026;15:31:00;00:01:30;3338-9039;GAVIAO PEIXOTO;DDD;0,92
25/05/2026;15:39:36;00:01:12;3227-8099;BAURU;DDD;0,74
25/05/2026;15:45:42;00:01:12;3338-9039;GAVIAO PEIXOTO;DDD;0,74
25/05/2026;15:53:18;00:01:00;3203-4091;SAO JOSE DO RIO;DDD;0,61
25/05/2026;15:53:48;00:01:00;3227-8099;BAURU;DDD;0,61
